Property,Abriv.,Unit,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Rf,Db,Sg,Bh,Hs,Mt,Ds,Rg,Cn,Nh,Fl,Mc,Lv,Ts,Og
Symbol,Sy,None,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Rf,Db,Sg,Bh,Hs,Mt,Ds,Rg,Cn,Nh,Fl,Mc,Lv,Ts,Og
Mineral hardness,MH,-,-,-,0.6,5.5,9.3,0.5,-,-,-,-,0.5,2.5,2.75,6.5,-,2,-,-,0.4,1.75,-,6,7,8.5,6,4,5,4,3,2.5,1.5,6,3.5,2,-,-,0.3,1.5,-,5,6,5.5,-,6.5,6,4075,2.5,2,1.2,1.5,3,2.25,-,-,0.2,1.25,2.5,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,5.5,6.5,7.5,7,7,6.5,3.5,2.5,1.5,1.2,1.5,2.25,-,-,-,-,-,-,3,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brinell hardness,BH,MN m^(-2),-,-,-,600,-,-,-,-,-,-,0.69,260,245,-,-,-,-,-,0.363,167,750,716,628,1120,196,490,700,700,874,412,60,-,1440,736,-,-,0.216,-,589,650,736,1500,-,2160,1100,37.3,24.5,203,8.83,51,294,180,-,-,0.14,-,363,412,481,265,-,441,-,-,677,500,746,814,471,343,893,1700,800,2570,1320,3920,1670,392,2450,-,26.4,38.3,94.2,-,-,-,-,-,-,400,-,6400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vickers hardness,Vh,MN m^(-2),-,-,-,1670,49000,-,-,-,-,-,-,-,167,-,-,-,-,-,-,-,-,970,628,1060,-,608,1043,638,369,-,-,-,-,-,-,-,-,-,-,903,1320,1530,-,-,1246,461,251,-,-,-,-,-,-,-,-,-,491,270,400,343,-,412,167,570,863,540,481,589,520,206,1160,1760,873,3430,2450,-,1760,549,216,-,-,-,-,-,-,-,-,-,-,350,-,1960,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Electrical resistivity,ER,10^(‑8) Ω m,-,-,9.5,3.8,>10^(12),1000,-,-,-,-,4.9,4.4,2.7,100000,10,>10^(23),>10^(10),-,7.5,3.4,55,40,20,12.7,144,10,6,7.2,1.72,6,14,50000,33,high,>10^(18),-,13.3,13.5,60,43.3,15.2,5.5,22,7.1,4.3,10.8,1.63,7,8,11.5,40,10000,>10^(15),-,21,34,61.5,74,70,64.3,75,94,90,131,115,92.6,81.4,86,67.6,25,58,34,13.5,5.4,18,8.1,4.7,10.6,2.2,96,15,21,130,40,-,-,-,100,-,15,18,28,120,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Thermal Conductivity,TC,W m^(-1) K^(-1),0.1805,0.1513,85,190,27,140,0.02583,0.02658,0.0277,0.0491,140,160,235,150,0.236,0.205,0.0089,0.01772,100,200,16,21.9,30.7,94,7.8,80,100,91,400,116,29,60,50,0.52,0.12,0.00943,58,35,17.2,22.7,54,139,51,120,150,72,430,97,82,66.6,24,3,0.449,0.00569,36,18,13,11,13,17,15,13,14,11,11,11,16,15,17,34.9,16,23,57,174,48,88,150,72,320,8.3,46,35,8,20,1.7,0.00361,15,19,12,54,47,27.6,6,6,10,10,10,10,10,10,10,10,10,23,58,19,-,-,-,-,-,-,-,-,-,-,-,0.0023
Coefficient of linear thermal expansion,TEC,10^(-6) K,-,-,46,11.3,6,7.1,-,-,-,-,71,8.2,23.1,2.6,-,-,-,-,-,22.3,10.2,8.6,8.4,4.9,21.7,11.8,13,13.4,16.5,30.2,120,6,-,-,-,-,-,22.5,10.6,5.7,7.3,4.8,-,6.4,8.2,11.8,18.9,30.8,32.1,22,11,-,-,-,-,20.6,12.1,6.3,6.7,9.6,11,12.7,35,9.4,10.3,9.9,11.2,12.2,13.3,26.3,9.9,5.9,6.3,4.5,6.2,5.1,6.4,8.8,14.2,-,29.9,28.9,13.4,-,-,-,-,-,-,11,-,13.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Reflectivity,Rf,%,-,-,-,-,-,27,-,-,-,-,-,74,71,28,-,-,-,-,-,-,-,-,61,-,-,65,67,72,90,80,-,-,-,-,-,-,-,-,-,-,-,58,-,-,84,72,97,67,-,54,55,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,62,-,-,78,73,95,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Refractive index,Ri,-,1.000132,1.000035,-,-,-,2.417,1.000298,1.000271,1.000195,1.000067,-,-,-,-,1.001212,1.001111,1.000773,1.000281,-,-,-,-,-,-,-,-,-,-,-,1.00205,-,-,1.001552,1.000895,1.001132,1.000427,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.000991,-,1.000702,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.000933,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Atomic Radius (empirical),AR_e,ang,0.25,-,1.45,1.05,0.85,0.7,0.65,0.6,0.5,-,1.8,1.5,1.25,1.1,1,1,1,-,2.2,1.8,1.6,1.4,1.35,1.4,1.4,1.4,1.35,1.35,1.35,1.35,1.3,1.25,1.15,1.15,1.15,-,2.35,2,1.8,1.55,1.45,1.45,1.35,1.3,1.35,1.4,1.6,1.55,1.55,1.45,1.45,1.4,1.4,-,2.6,2.15,1.95,1.85,1.85,1.85,1.85,1.85,1.85,1.8,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.55,1.45,1.35,1.35,1.3,1.35,1.35,1.35,1.5,1.9,1.8,1.6,1.9,-,-,-,2.15,1.95,1.8,1.8,1.75,1.75,1.75,1.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Atomic Radius (calculated),AR_c,ang,0.53,0.46,1.67,1.12,0.87,0.67,0.56,0.48,0.42,0.38,1.9,1.45,1.18,1.11,0.98,0.88,0.79,0.71,2.43,-,1.84,1.76,1.71,1.66,1.61,1.56,1.52,1.49,1.45,-,1.36,1.25,1.14,1.03,0.94,0.88,2.65,2.19,2.12,2.06,1.98,1.9,1.83,1.78,1.73,1.69,1.65,1.61,1.56,1.45,1.33,1.23,1.15,1.08,2.98,2.53,-,-,2.47,2.06,2.05,2.38,2.31,2.33,2.25,2.28,2.26,2.26,2.22,2.22,2.17,2.08,2,1.93,1.88,1.85,1.8,1.77,1.74,1.71,1.56,1.54,1.43,1.35,1.27,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
